"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","19",24000000,"","","920",,"台形","21.0","320","平成3年","木造","共同住宅","住宅","北東","市道",9.0,"準工業地域",60,200,"2014年第４四半期","",""
2,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","15",27000000,"","","280",,"ほぼ長方形","21.0","120","平成26年","木造","住宅","住宅","北西","市道",8.0,"準工業地域",60,200,"2014年第３四半期","",""
3,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","19",14000000,"","","155",,"ほぼ長方形","12.0","85","昭和48年","木造","住宅","住宅","東","市道",8.0,"準工業地域",60,200,"2014年第３四半期","",""
4,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","青葉","千歳(北海道)","20",23000000,"","","230",,"長方形","15.5","100","平成26年","木造","住宅","","北","市道",6.0,"準工業地域",60,200,"2014年第２四半期","",""
5,"宅地(土地)","商業地","01224","北海道","千歳市","青葉丘","千歳(北海道)","9",580000,"17000","","110",5200,"ほぼ長方形","","","","","","","接面道路無","",,"準工業地域",60,200,"2014年第１四半期","",""
6,"宅地(土地)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",5000000,"56000","","300",17000,"長方形","12.0","","","","","住宅","北西","市道",16.5,"市街化調整区域",60,200,"2014年第４四半期","",""
7,"宅地(土地)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",5000000,"56000","","300",17000,"長方形","11.8","","","","","住宅","北西","市道",16.5,"市街化調整区域",60,200,"2014年第３四半期","",""
8,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",13000000,"","","250",,"長方形","14.0","180","平成4年","木造","共同住宅","住宅","北西","市道",8.0,"市街化調整区域",60,200,"2014年第３四半期","",""
9,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",19000000,"","","300",,"ほぼ長方形","12.5","290","平成3年","木造","共同住宅","住宅","北西","市道",8.5,"市街化調整区域",60,200,"2014年第３四半期","",""
10,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",8800000,"","","360",,"ほぼ長方形","16.0","105","昭和43年","木造","住宅","その他","北西","市道",8.0,"市街化調整区域",60,200,"2014年第３四半期","",""
11,"宅地(土地と建物)","住宅地","01224","北海道","千歳市","旭ケ丘","千歳(北海道)","30分?60分",18000000,"","","350",,"ほぼ長方形","18.5","290","平成2年","木造","共同住宅","","北西","市道",8.0,"市街化調整区域",60,200,"2014年第２四半期","",""
